City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,namibe,-15.1961,12.1522,24.51,79,21,2.1,AO,1706667315
84,tazovsky,67.4667,78.7,-21.32,93,84,6.56,RU,1706667315
85,la ronge,55.1001,-105.2842,6.14,61,0,4.12,CA,1706667315
86,whitehorse,60.7161,-135.0538,-9.76,89,5,3.1,CA,1706667185
87,nicoya,10.1483,-85.452,25.15,64,13,6.04,CR,1706667122
88,kafir qala,34.6667,61.0667,1.84,67,70,8.23,AF,1706667316
89,leh,34.1667,77.5833,-6.93,82,99,1.57,IN,1706667316
90,mejit,10.2753,170.8646,26.31,81,100,8.77,MH,1706667316
91,gaalkacyo,6.7697,47.4308,20.74,88,93,5.63,SO,1706667316
92,vila velha,-20.3297,-40.2925,26.97,93,40,1.54,BR,1706667316
93,huinca renanco,-34.8404,-64.3758,28.41,31,89,4.41,AR,1706667317
94,san andres,12.5847,-81.7006,26.73,77,56,9.71,CO,1706667317
95,thompson,55.7435,-97.8558,1.09,93,100,1.54,CA,1706667317
96,tsiombe,-25.3,45.4833,23.22,83,84,6.21,MG,1706667317
97,portoferraio,42.8115,10.3146,10.88,93,100,2.06,IT,1706667317
98,hawaiian paradise park,19.5933,-154.9731,28.91,75,0,2.57,US,1706667318
99,shingu,33.7333,135.9833,11.15,87,100,2.13,JP,1706667318
100,uturoa,-16.7333,-151.4333,29.09,73,100,5.11,PF,1706667318
101,tiksi,71.6872,128.8694,-27.11,98,51,1.7,RU,1706667318
102,puerto aysen,-45.4,-72.7,13.7,99,100,2.13,CL,1706667318
103,kone,-21.0595,164.8658,27.86,74,87,1.54,NC,1706667319
104,udalguri,26.7667,92.1333,14.91,52,31,2.65,IN,1706667319
105,hithadhoo,-0.6,73.0833,27.43,74,12,2.01,MV,1706667319
106,zaragoza,41.6561,-0.8773,11.38,83,100,2.24,ES,1706667319
107,mount gambier,-37.8333,140.7667,21.81,47,0,4.39,AU,1706667319
108,jamestown,42.097,-79.2353,1.12,91,100,3.09,US,1706667316
109,rovaniemi,66.5,25.7167,-2.33,86,0,10.29,FI,1706667319
110,mata-utu,-13.2816,-176.1745,29.7,78,100,6.82,WF,1706667320
111,akureyri,65.6835,-18.0878,-5.04,86,0,5.14,IS,1706667320
112,revda,56.801,59.9303,-9.25,96,97,2.4,RU,1706667320
113,port elizabeth,-33.918,25.5701,21.29,88,0,1.54,ZA,1706667320
114,happy valley-goose bay,53.3168,-60.3315,-10.83,40,20,7.2,CA,1706667321
115,khandyga,62.6667,135.6,-38.69,98,97,0.31,RU,1706667321
116,longyearbyen,78.2186,15.6401,-5.09,68,75,5.66,SJ,1706667321
117,quellon,-43.1167,-73.6167,14.73,90,100,2.47,CL,1706667321
118,san pedro pochutla,15.7333,-96.4667,26.84,73,2,2.15,MX,1706667321
119,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,70,40,4.0,RU,1706667321
120,vilyuchinsk,52.9306,158.4028,-10.85,61,100,2.56,RU,1706667138
121,san antonio de pale,-1.4014,5.6325,27.69,79,100,2.49,GQ,1706667322
122,masterton,-40.9597,175.6575,22.71,60,85,1.88,NZ,1706667322
123,palangkaraya,-2.2,113.8333,26.93,88,100,1.11,ID,1706667322
124,wailua homesteads,22.0669,-159.378,23.75,79,75,2.06,US,1706667322
125,isangel,-19.55,169.2667,27.36,71,37,1.01,VU,1706667323
126,aasiaat,68.7098,-52.8699,-29.89,95,57,5.72,GL,1706667323
127,zwedru,6.0667,-8.1281,22.77,98,33,1.23,LR,1706667323
128,fiambala,-27.6871,-67.6149,26.94,36,75,2.54,AR,1706667323
129,marka,1.7159,44.7717,25.51,81,57,7.19,SO,1706667323
130,haiku-pauwela,20.9219,-156.3051,23.61,96,100,4.63,US,1706667323
131,ko pha ngan,9.7578,100.0291,26.38,74,18,6.15,TH,1706667324
132,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1706667324
133,boende,-0.2167,20.8667,24.53,75,100,1.94,CD,1706667324
134,bingol,38.8847,40.4939,-8.62,77,96,3.45,TR,1706667324
135,prince rupert,54.3161,-130.3201,8.83,81,100,3.09,CA,1706667246
136,utrik,11.2278,169.8474,26.13,76,100,7.45,MH,1706667325
137,castanos,26.7833,-101.4167,17.41,43,0,0.82,MX,1706667325
138,la passe,45.5549,-0.8967,8.13,91,82,2.46,FR,1706667325
139,slave lake,55.2834,-114.769,7.99,42,0,13.38,CA,1706667325
140,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.57,GF,1706667325
141,rabo de peixe,37.8,-25.5833,14.73,88,75,2.06,PT,1706667325
142,college,64.8569,-147.8028,-25.82,69,75,2.06,US,1706667082
143,detva,48.5608,19.4195,-0.83,75,71,0.87,SK,1706667325
144,pahrump,36.2083,-115.9839,16.81,47,0,0.89,US,1706667326
145,holualoa,19.6228,-155.9522,25.99,81,40,4.12,US,1706667326
146,baker city,44.7749,-117.8344,8.1,75,0,3.6,US,1706667238
147,kinablangan,7.6947,126.5503,25.95,91,100,4.82,PH,1706667326
148,glencoe,-28.1783,30.147,15.66,90,67,0.91,ZA,1706667326
149,lebu,-37.6167,-73.65,14.94,82,0,5.81,CL,1706667326
150,chonchi,-42.6128,-73.8092,16.56,91,100,1.25,CL,1706667326
151,nova vicosa,-17.8919,-39.3719,25.34,90,100,4.03,BR,1706667327
152,spearfish,44.4908,-103.8594,9.56,48,0,2.06,US,1706667327
153,tromso,69.6496,18.957,1.01,93,75,9.26,NO,1706667327
154,meiktila,20.8667,95.8667,19.33,36,32,2.66,MM,1706667327
155,otjimbingwe,-22.35,16.1333,27.43,32,89,0.9,NA,1706667327
156,vilyuysk,63.7553,121.6247,-25.34,98,100,1.34,RU,1706667328
157,tekeli,44.83,78.8239,-7.02,91,100,1.27,KZ,1706667328
158,karratha,-20.7377,116.8463,30.07,58,63,2.96,AU,1706667328
159,prescott,34.54,-112.4685,12.19,42,0,2.06,US,1706667328
160,carnarvon,-24.8667,113.6333,34.63,42,0,4.8,AU,1706667328
161,bayanhongor,46.7167,100.1167,-24.87,78,21,1.24,MN,1706667328
162,iskateley,67.6803,53.1512,-6.1,92,56,4.92,RU,1706667329
163,richards bay,-28.783,32.0377,21.62,85,0,1.29,ZA,1706667329
164,bredasdorp,-34.5322,20.0403,18.43,97,68,2.03,ZA,1706667329
165,kitami,43.8031,143.8908,-6.3,65,100,1.76,JP,1706667329
166,kodiak,57.79,-152.4072,-11.27,48,0,2.57,US,1706667329
167,touros,-5.1989,-35.4608,27.28,73,3,5.36,BR,1706667330
168,newman,37.3138,-121.0208,18.34,81,82,0.45,US,1706667330
169,walvis bay,-22.9575,14.5053,17.83,94,2,2.57,NA,1706667330
170,mount isa,-20.7333,139.5,25.87,94,100,7.2,AU,1706667330
171,ardakan,32.31,54.0175,4.94,39,69,4.33,IR,1706667330
172,nova sintra,14.8667,-24.7167,20.95,62,0,5.42,CV,1706667330
173,smithers,54.7804,-127.1743,2.18,100,75,1.03,CA,1706667317
174,zaozersk,69.4005,32.4476,0.82,81,100,15.64,RU,1706667331
175,palasa,18.7667,84.4167,20.76,77,14,1.98,IN,1706667331
176,kalaleh,37.3807,55.4916,3.78,93,75,0.0,IR,1706667331
177,al kharijah,25.4514,30.5464,7.87,48,0,2.67,EG,1706667331
178,carutapera,-1.195,-46.02,25.94,87,63,2.61,BR,1706667332
179,vorgashor,67.5833,63.95,-13.13,95,100,4.78,RU,1706667332
180,choma,-16.8065,26.9531,17.09,88,0,1.85,ZM,1706667332
181,lerwick,60.1545,-1.1494,8.0,81,100,14.82,GB,1706667332
182,cruzeiro do sul,-29.5128,-51.9853,19.16,90,6,0.56,BR,1706667332
183,shache,38.4167,77.2406,-2.35,53,100,1.62,CN,1706667332
184,reggane,26.7158,0.1714,16.01,33,0,7.69,DZ,1706667332
185,aquin,18.2833,-73.4,23.26,86,27,2.96,HT,1706667333
186,krasnoye-na-volge,57.5125,41.2419,-11.66,100,90,2.24,RU,1706667333
187,manistee,44.2445,-86.3242,3.01,65,100,0.0,US,1706667333
188,pisco,-13.7,-76.2167,24.03,78,100,7.2,PE,1706667333
189,kingston,17.997,-76.7936,25.53,84,40,7.2,JM,1706667309
190,abu zabad,12.35,29.25,16.42,21,32,6.94,SD,1706667333
191,susuman,62.7833,148.1667,-32.23,97,100,0.89,RU,1706667334
192,udachny,66.4167,112.4,-26.86,100,99,1.19,RU,1706667334
193,saint-philippe,-21.3585,55.7679,24.77,86,64,4.04,RE,1706667334
194,guiuan,11.0333,125.7247,27.04,80,100,10.49,PH,1706667334
195,leskovac,42.9981,21.9461,-4.23,74,0,0.54,RS,1706667334
196,arauca,7.0847,-70.7591,29.54,39,100,1.04,CO,1706667334
197,souillac,-20.5167,57.5167,26.21,83,75,1.03,MU,1706667335
198,mirpur mathelo,28.0227,69.5489,15.41,32,47,1.39,PK,1706667335
199,orchard homes,46.8633,-114.0484,3.66,91,100,1.54,US,1706667335
200,shahganj,26.05,82.6833,11.33,66,3,0.87,IN,1706667335
201,la sarre,48.8002,-79.1996,-1.23,94,100,4.11,CA,1706667335
202,kyzylorda,44.8528,65.5092,-12.99,85,100,6.0,KZ,1706667335
203,nan,18.8333,100.6667,18.01,100,75,0.0,TH,1706667336
204,tolanaro,-25.0319,46.9987,23.18,87,53,4.79,MG,1706667336
205,port alfred,-33.5906,26.891,20.1,94,100,2.05,ZA,1706667336
206,klaksvik,62.2266,-6.589,6.51,93,100,9.56,FO,1706667336
207,cabo san lucas,22.8909,-109.9124,25.42,65,75,7.2,MX,1706667336
208,praia da vitoria,38.7333,-27.0667,14.14,100,75,2.82,PT,1706667337
209,cill airne,52.05,-9.5167,5.9,90,100,3.52,IE,1706667337
210,naze,28.3667,129.4833,19.51,79,98,7.75,JP,1706667337
211,nizhniy odes,63.6445,54.856,-6.27,95,99,3.3,RU,1706667337
212,orkney,-26.9802,26.6727,19.75,57,14,3.91,ZA,1706667338
